YOM,Brand,Car_Name,Kms_Driven,Fuel_Type,Owner_Type,Transmission_Type,Price_in_Lakhs,Emi_per_Month,Location
2019,Maruti,Maruti New Wagon-R LXI CNG 1.0,73245,CNG,1st owner,Manual,4.9,9580,Hyderabad
2017,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,82230,Petrol,1st owner,Automatic,8.17,15551,Hyderabad
2015,Maruti,Maruti Celerio VXI,85427,Petrol,1st owner,Manual,2.97,5800,Hyderabad
2019,Honda,Honda Jazz 1.2L I-VTEC VX CVT,32003,Petrol,1st owner,Automatic,6.63,12965,Hyderabad
2016,Hyundai,Hyundai Eon SPORTZ,25890,Petrol,1st owner,Manual,2.97,5806,Hyderabad
2018,Hyundai,Hyundai Verna 1.6 VTVT SX (O) AT,50283,Petrol,1st owner,Automatic,8.19,15589,Hyderabad
2016,Hyundai,Hyundai Elite i20 ASTA 1.2,16667,Petrol,1st owner,Manual,5.28,10323,Hyderabad
2014,Volkswagen,Volkswagen Vento HIGHLINE PETROL AT,68877,Petrol,1st owner,Automatic,4.11,9142,Hyderabad
2018,Honda,Honda WR-V 1.2L I-VTEC S ALIVE EDITION,58541,Petrol,1st owner,Manual,4.98,9736,Hyderabad
2018,Hyundai,Hyundai NEW SANTRO SPORTZ MT,33220,Petrol,1st owner,Manual,4.1,8016,Hyderabad
2018,Maruti,Maruti Wagon R 1.0 LXI CNG,38836,CNG,2nd owner,Manual,3.92,7664,Hyderabad
2015,Ford,Ford Ecosport AMBIENTE 1.5L DIESEL,69002,Diesel,1st owner,Manual,4.73,10519,Hyderabad
2014,Maruti,Maruti Celerio VXI,34496,Petrol,1st owner,Manual,3.15,7007,Hyderabad
2021,Tata,Tata Tiago XZ PLUS PETROL,15826,Petrol,1st owner,Manual,5.45,10655,Hyderabad
2019,Honda,Honda Amaze 1.2L I-VTEC S CVT,33939,Petrol,1st owner,Automatic,5.97,11671,Hyderabad
2020,Maruti,Maruti Baleno ZETA PETROL 1.2,57595,Petrol,1st owner,Manual,6.76,13216,Hyderabad
2018,Tata,Tata NEXON XZ PLUS DIESEL,81141,Diesel,2nd owner,Manual,6.91,13509,Hyderabad
2014,Honda,Honda City 1.5L I-VTEC VX,47299,Petrol,1st owner,Manual,5.29,11767,Hyderabad
2022,Tata,Tata Tiago XZ PLUS CNG,77730,CNG,1st owner,Manual,6.53,12768,Hyderabad
2015,Hyundai,Hyundai Elite i20 SPORTZ 1.2,66193,Petrol,1st owner,Manual,4.37,8543,Hyderabad
2016,Volkswagen,Volkswagen Ameo HIGHLINE1.2L,73846,Petrol,1st owner,Manual,3.95,7722,Hyderabad
2013,Maruti,Maruti Ertiga ZDI,35446,Diesel,1st owner,Manual,6.67,22154,Hyderabad
2015,Honda,Honda Amaze 1.2L I-VTEC VX,35139,Petrol,3rd owner,Manual,3.46,6764,Hyderabad
2014,Honda,Honda Brio VX MT,69540,Petrol,2nd owner,Manual,2.87,6384,Hyderabad
2021,Hyundai,Hyundai Creta SX IVT 1.5 PETROL,31798,Petrol,1st owner,Manual,13.24,25201,Hyderabad
2018,Maruti,Maruti Celerio ZXI,74184,Petrol,1st owner,Manual,3.98,7781,Hyderabad
2016,Hyundai,Hyundai Creta S 1.4 DIESEL,63031,Diesel,1st owner,Manual,7.4,14467,Hyderabad
2022,Tata,Tata NEXON XMA PETROL,26894,Petrol,1st owner,Manual,8.37,15932,Hyderabad
2017,Maruti,Maruti Baleno DELTA PETROL 1.2,49136,Petrol,2nd owner,Manual,4.86,9501,Hyderabad
2021,Hyundai,Hyundai VENUE SX 1.0 TURBO IMT,21166,Petrol,1st owner,Manual,8.54,16255,Hyderabad
2016,Honda,Honda Jazz 1.2L I-VTEC V,33084,Petrol,1st owner,Manual,4.08,7976,Hyderabad
2019,Honda,Honda Civic 1.8L I-VTEC VX CVT,15888,Petrol,2nd owner,Automatic,13.11,24962,Hyderabad
2016,Hyundai,Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,35405,Petrol,1st owner,Automatic,4.28,8367,Hyderabad
2016,Volkswagen,Volkswagen Polo HIGHLINE1.2L,63237,Petrol,1st owner,Manual,4.28,8367,Hyderabad
2020,Maruti,Maruti IGNIS DELTA 1.2,19834,Petrol,2nd owner,Manual,4.71,9208,Hyderabad
2015,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,37725,Petrol,1st owner,Automatic,3.8,7429,Hyderabad
2018,Maruti,Maruti Celerio VXI CNG,71504,CNG,2nd owner,Manual,4.16,8127,Hyderabad
2013,Maruti,Maruti Wagon R 1.0 VXI,10169,Petrol,1st owner,Manual,2.7,7110,Hyderabad
2020,Hyundai,Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,30547,Petrol,1st owner,Manual,6.45,12610,Hyderabad
