YOM,Brand,Car_Name,Kms_Driven,Fuel_Type,Owner_Type,Transmission_Type,Price_in_Lakhs,Emi_per_Month,Location
2017,Maruti,Maruti Baleno ZETA PETROL 1.2,33827,Petrol,2nd owner,Manual,4.87,9521,New Delhi
2021,KIA,KIA SELTOS GTX PLUS AT 1.5 DIESEL,66666,Diesel,1st owner,Automatic,13.85,26362,New Delhi
2019,Maruti,Maruti Celerio ZXI AMT,74343,Petrol,1st owner,Manual,4.02,7859,New Delhi
2022,Renault,Renault Kwid RXT 1.0,15362,Petrol,1st owner,Manual,4.08,7969,New Delhi
2020,Tata,Tata NEXON EV XZ PLUS,46305,Electric,1st owner,Manual,11.0,20937,New Delhi
2019,Renault,Renault Kwid RXT 1.0 (O),34562,Petrol,1st owner,Manual,3.64,7112,New Delhi
2019,Hyundai,Hyundai Xcent S 1.2,41326,Petrol,1st owner,Manual,4.76,9306,New Delhi
2020,Maruti,Maruti New Wagon-R VXI 1.0 AMT,41307,Petrol,2nd owner,Manual,4.56,8915,New Delhi
2020,Maruti,Maruti Baleno ZETA PETROL 1.2,31912,Petrol,1st owner,Manual,6.14,12004,New Delhi
2022,Nissan,Nissan MAGNITE XV PREMIUM TURBO,26583,Petrol,1st owner,Manual,7.8,15249,New Delhi
2021,Tata,Tata Tiago XZ PLUS PETROL,19905,Petrol,1st owner,Manual,5.43,10616,New Delhi
2015,Maruti,Maruti Ciaz VXI,56213,Petrol,1st owner,Manual,4.92,9618,New Delhi
2022,Renault,Renault TRIBER RXL MT,21089,Petrol,1st owner,Manual,5.7,11140,New Delhi
2020,Maruti,Maruti Baleno DELTA PETROL 1.2,60770,Petrol,1st owner,Manual,5.36,10479,New Delhi
2020,Hyundai,Hyundai Creta SX (O) 1.4 TURBO DCT,57541,Petrol,1st owner,Automatic,13.46,25620,New Delhi
2020,Maruti,Maruti Baleno DELTA PETROL 1.2,38558,Petrol,1st owner,Manual,6.02,11766,New Delhi
2020,Maruti,Maruti S PRESSO VXI+,30323,Petrol,1st owner,Manual,3.7,7234,New Delhi
