YOM,Brand,Car_Name,Kms_Driven,Fuel_Type,Owner_Type,Transmission_Type,Price_in_Lakhs,Emi_per_Month,Location
2023,Mahindra,Mahindra XUV700 AX 3 P AT 5 STR,16638,Petrol,1st owner,Automatic,18.0,34261,Banglore
2019,Datsun,Datsun Redi Go A,66264,Petrol,1st owner,Manual,2.48,4848,Banglore
2017,Honda,Honda Jazz 1.2L I-VTEC V,55432,Petrol,2nd owner,Manual,5.67,11081,Banglore
2016,Maruti,Maruti S Cross ZETA 1.3,78922,Diesel,2nd owner,Manual,6.37,12453,Banglore
2018,Maruti,Maruti Baleno ALPHA CVT PETROL 1.2,26277,Petrol,2nd owner,Automatic,6.74,13177,Banglore
2018,Honda,Honda BR-V 1.5L I-VTEC V CVT,81477,Petrol,1st owner,Automatic,7.9,15445,Banglore
2014,Renault,Renault Duster 85 PS RXE DIESEL ADVENTURE,73401,Diesel,1st owner,Manual,5.5,14481,Banglore
2018,Tata,Tata NEXON XZA PLUS DIESEL,90759,Diesel,1st owner,Manual,8.06,15341,Banglore
2018,Hyundai,Hyundai Verna 1.6 VTVT SX,55676,Petrol,2nd owner,Automatic,7.68,15015,Banglore
2020,Honda,Honda Jazz 1.2L I-VTEC ZX,62299,Petrol,1st owner,Manual,7.22,14121,Banglore
2016,Nissan,Nissan Micra Active XV,87882,Petrol,1st owner,Manual,3.17,6197,Banglore
2021,Maruti,Maruti S PRESSO VXI+,31247,Petrol,1st owner,Manual,4.58,8954,Banglore
2022,KIA,KIA SONET GTX PLUS 1.0 IMT,9477,Petrol,1st owner,Manual,11.74,22341,Banglore
2012,Toyota,Toyota Etios Liva GD,,2nd owner,,Manual,3.6,16946,Banglore
2019,KIA,KIA SELTOS GTX PLUS DCT 1.4 PETROL,60467,Petrol,1st owner,Automatic,12.89,24535,Banglore
2016,Maruti,Maruti Ciaz ZXI AT,96520,Petrol,2nd owner,Automatic,5.34,10444,Banglore
2021,Renault,Renault Kwid RXT 1.0 (O),32889,Petrol,1st owner,Manual,4.37,8541,Banglore
2021,Skoda,Skoda Rapid STYLE AT TSI,41204,Petrol,1st owner,Automatic,10.52,20016,Banglore
2019,Hyundai,Hyundai NEW SANTRO MAGNA,33673,Petrol,2nd owner,Manual,3.99,7802,Banglore
2017,Renault,Renault Kwid RXT 0.8,48581,Petrol,3rd owner,Manual,2.98,5826,Banglore
2021,Renault,Renault Kwid CLIMBER 1.0 (O),41785,Petrol,1st owner,Manual,4.38,8563,Banglore
2022,Tata,Tata NEXON XZA PLUS (HS) PETROL,15617,Petrol,1st owner,Manual,10.97,20880,Banglore
2021,MG,MG HECTOR SMART HYBRID 1.5 PETROL,13989,Petrol,1st owner,Manual,14.6,27794,Banglore
2022,KIA,KIA SONET GTX PLUS 1.0 DCT,19749,Petrol,1st owner,Automatic,12.06,22961,Banglore
2020,Honda,Honda City 1.5L I-VTEC VX CVT,41750,Petrol,1st owner,Automatic,10.68,20330,Banglore
2017,Datsun,Datsun Redi Go T(O) 1.0,32591,Petrol,2nd owner,Manual,2.35,4594,Banglore
2021,Maruti,Maruti Celerio ZXI PLUS AGS,45807,Petrol,1st owner,Manual,5.9,11535,Banglore
2019,Hyundai,Hyundai NEW SANTRO ASTA MT,55677,Petrol,1st owner,Manual,4.4,8602,Banglore
2021,KIA,KIA SELTOS GTX PLUS 1.4 PETROL DCT DUAL TONE,30414,Petrol,1st owner,Automatic,15.22,28970,Banglore
2019,Renault,Renault Duster 110 PS RXZ DIESEL,80306,Diesel,2nd owner,Manual,8.21,15627,Banglore
2016,Hyundai,Hyundai Creta E PLUS 1.6 PETROL,48665,Petrol,2nd owner,Manual,8.0,15227,Banglore
2017,Renault,Renault Duster RXL PETROL,67614,Petrol,2nd owner,Manual,6.28,12283,Banglore
2016,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,42552,Petrol,1st owner,Automatic,4.64,9071,Banglore
2019,Hyundai,Hyundai Creta SX 1.6 DIESEL,75395,Diesel,1st owner,Manual,11.18,21280,Banglore
2022,Mahindra,Mahindra XUV300 W8 (O) 1.2 PETROL AMT,11682,Petrol,2nd owner,Manual,11.12,21166,Banglore
2021,Mahindra,Mahindra XUV300 W8 (O) 1.2 PETROL,6528,Petrol,1st owner,Manual,10.63,20233,Banglore
2017,Hyundai,Hyundai Elite i20 ASTA 1.2,51852,Petrol,2nd owner,Manual,6.08,11887,Banglore
2022,MG,MG HECTOR PLUS SELECT 2.0 DIESEL TURBO MT 7-STR,15431,Diesel,1st owner,Manual,18.95,36071,Banglore
2019,Renault,Renault Kwid RXT 1.0 (O),20725,Petrol,1st owner,Manual,4.24,8291,Banglore
2021,Maruti,Maruti Baleno ZETA CVT PETROL 1.2,29413,Petrol,1st owner,Automatic,7.95,15542,Banglore
2022,KIA,KIA SONET HTX PLUS 1.0 IMT,14039,Petrol,1st owner,Manual,11.35,21609,Banglore
2017,Renault,Renault Duster 110 PS RXL 4X2 AMT,60774,Diesel,2nd owner,Manual,7.45,14565,Banglore
2018,Datsun,Datsun Redi Go S 1.0,43021,Petrol,1st owner,Manual,2.76,5398,Banglore
2021,Tata,Tata NEXON XZ PLUS (O) PETROL,19430,Petrol,2nd owner,Manual,9.13,17386,Banglore
2017,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,80561,Petrol,2nd owner,Automatic,8.55,16277,Banglore
2014,Renault,Renault Duster 85 PS RXE DIESEL ADVENTURE,90841,Diesel,1st owner,Manual,5.44,14326,Banglore
2013,Hyundai,Hyundai i20 ASTA 1.2,66364,Petrol,2nd owner,Manual,3.92,10323,Banglore
2023,Renault,Renault Kwid CLIMBER AMT 1.0,4082,Petrol,1st owner,Manual,5.95,11630,Banglore
2020,Tata,Tata NEXON XZA PLUS (O) PETROL DUAL TONE,59285,Petrol,1st owner,Manual,9.07,17259,Banglore
2014,Hyundai,Hyundai i20 SPORTZ 1.2,69502,Petrol,2nd owner,Manual,4.3,9565,Banglore
2014,Nissan,Nissan Micra XV CVT,82542,Petrol,1st owner,Automatic,3.38,7519,Banglore
2017,Renault,Renault Kwid RXL 1.0,30848,Petrol,1st owner,Manual,3.18,6217,Banglore
2019,Renault,Renault Kwid RXT 1.0 (O),45725,Petrol,2nd owner,Manual,3.62,7077,Banglore
2017,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,60651,Petrol,1st owner,Automatic,4.68,9159,Banglore
2021,Hyundai,Hyundai VENUE SX 1.0 (O) TURBO IMT,17981,Petrol,1st owner,Manual,10.25,19512,Banglore
2023,Renault,Renault Kwid RXT 1.0 AMT,1343,Petrol,2nd owner,Manual,5.65,11046,Banglore
2019,Maruti,Maruti Celerio VXI AMT,28334,Petrol,2nd owner,Manual,5.08,9931,Banglore
2021,Maruti,Maruti Baleno DELTA CVT PETROL 1.2,19123,Petrol,1st owner,Automatic,7.35,14369,Banglore
2019,Mahindra,Mahindra XUV300 W8 (O) 1.5 DIESEL,35712,Diesel,2nd owner,Manual,9.83,18710,Banglore
2011,Hyundai,Hyundai i10 MAGNA 1.1,70589,Petrol,2nd owner,Manual,2.4,11298,Banglore
2016,Maruti,Maruti Ciaz ZXI+,34800,Petrol,2nd owner,Manual,5.86,11456,Banglore
2016,Hyundai,Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,49862,Petrol,1st owner,Automatic,4.85,9484,Banglore
2019,Hyundai,Hyundai NEW SANTRO SPORTZ AMT,52278,Petrol,1st owner,Manual,4.8,9384,Banglore
2017,Skoda,Skoda Rapid STYLE 1.5 TDI AT,95602,Diesel,1st owner,Automatic,8.61,16379,Banglore
2016,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),71393,Petrol,1st owner,Manual,6.01,11750,Banglore
2016,Honda,Honda Amaze 1.2L I-VTEC VX,43434,Petrol,2nd owner,Manual,4.47,8747,Banglore
2020,Renault,Renault Kwid RXT 1.0 AMT (O),38507,Petrol,1st owner,Manual,4.68,9144,Banglore
2023,Tata,Tata Tiago XZA PLUS PETROL,10526,Petrol,1st owner,Manual,7.27,14213,Banglore
2017,Maruti,Maruti Baleno ZETA PETROL 1.2,48380,Petrol,1st owner,Manual,6.02,11769,Banglore
2021,Tata,Tata ALTROZ XZ PLUS I-TURBO PETROL DARK EDITION,25058,Petrol,1st owner,Manual,7.92,15484,Banglore
2022,KIA,KIA SELTOS X LINE 1.5 DIESEL AT,43707,Diesel,2nd owner,Automatic,16.1,30645,Banglore
2015,Maruti,Maruti Celerio VXI AMT,52672,Petrol,1st owner,Manual,3.82,7468,Banglore
2018,Renault,Renault Kwid 1.0 MARVEL IRON MAN EDITION,47928,Petrol,1st owner,Manual,3.57,6979,Banglore
2020,Hyundai,Hyundai AURA SX PLUS 1.2 AMT CRDI,49985,Diesel,2nd owner,Manual,7.78,15210,Banglore
2017,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,40795,Petrol,1st owner,Automatic,4.93,9638,Banglore
2016,Maruti,Maruti Swift VXI,92642,Petrol,2nd owner,Manual,4.95,9677,Banglore
2018,Maruti,Maruti Ciaz ZETA 1.4 AT PETROL,50334,Petrol,2nd owner,Automatic,6.46,12629,Banglore
2012,Honda,Honda City 1.5L I-VTEC S MT,87836,Petrol,2nd owner,Manual,3.9,12947,Banglore
2022,KIA,KIA CARENS LUXURY PLUS 1.4 PETROL 7 STR,15197,Petrol,1st owner,Manual,16.84,32048,Banglore
2021,Renault,Renault Kwid CLIMBER 1.0 AMT (O),29637,Petrol,1st owner,Manual,5.23,10225,Banglore
2015,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,60987,Petrol,2nd owner,Automatic,4.13,8074,Banglore
2016,Maruti,Maruti Celerio VXI AMT (O),38929,Petrol,2nd owner,Manual,4.18,8172,Banglore
2019,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,51615,Petrol,1st owner,Automatic,5.12,10004,Banglore
2015,Maruti,Maruti Swift VXI,34794,Petrol,1st owner,Manual,5.06,9897,Banglore
2019,Hyundai,Hyundai VENUE SX PLUS 1.0 TURBO DCT,21881,Petrol,1st owner,Automatic,9.16,17435,Banglore
